"","title","names","condition","trial_type","trial_index","time_elapsed","internal_node_id","sessionCode","X","fullStat","name1","relation","timeDrag","ndrags","rel_sol","name1_sol","name2","name2_sol","statIdx","stoIdx","name1_cor","name2_cor","rel_cor","first","overall_cor","uniqueStatement","relError","name1_error","name2_error","dayblock","date","stoIdx2","condStoIdx","primed","timeDragLog"
"221","fox","Avyth,Evib,Felac,Niem,Romap,Hoap","analogues","hebb",8,4745682,"0.0-4.0-4.0","0q6p85jkrtr8",NA,"Fox Avyth digs tunnel Evib.","Evib","wants",23535,3,"digs","Avyth","Felac","Evib","1",6,FALSE,FALSE,FALSE,0,0,"fox1","grasyn","intra-stat","inter-stat","afternoon",NA,2,2,0,10.0662864428412
"222","fox","Avyth,Evib,Felac,Niem,Romap,Hoap","analogues","hebb",8,4745682,"0.0-4.0-4.0","0q6p85jkrtr8",NA,"Tunnel Evib leads to coop of chicken Felac.","Felac","digs",12504,3,"leads to sth. of","Evib","Evib","Felac","2",6,FALSE,FALSE,FALSE,0,0,"fox2","order","intra-stat","intra-stat","afternoon",NA,2,2,0,9.43388384331172
"223","fox","Avyth,Evib,Felac,Niem,Romap,Hoap","analogues","hebb",8,4745682,"0.0-4.0-4.0","0q6p85jkrtr8",NA,"Chicken Felac is devoured.","Felac","is devoured",25548,2,"is devoured","Felac",NA,NA,"3",6,TRUE,NA,TRUE,0,1,"fox3","none","none",NA,"afternoon",NA,2,2,0,10.1483534559227
"231","employee","Rove,Afi,Pobat,Igoth,Mawi,Ilres","fillers","hebb",9,4788388,"0.0-4.0-5.0","0q6p85jkrtr8",NA,"Employee Rove is assigned to project Afi.","Rove","is assigned to",8000,3,"is assigned to","Rove","Pobat","Afi","1",7,TRUE,FALSE,TRUE,0,0.666666666666667,"employee1","none","none","inter-stat","afternoon",NA,3,1,1,8.98732181285012
"232","employee","Rove,Afi,Pobat,Igoth,Mawi,Ilres","fillers","hebb",9,4788388,"0.0-4.0-5.0","0q6p85jkrtr8",NA,"Project Afi supports agenda of manager Pobat.","Rove","is assigned to",14433,3,"supports sth. of","Afi","Afi","Pobat","2",7,FALSE,FALSE,FALSE,0,0,"employee2","order","inter-stat","intra-stat","afternoon",NA,3,1,1,9.57734181363222
"233","employee","Rove,Afi,Pobat,Igoth,Mawi,Ilres","fillers","hebb",9,4788388,"0.0-4.0-5.0","0q6p85jkrtr8",NA,"Manager Pobat gets a promotion.","Afi","gets a promotion",9730,3,"gets a promotion","Pobat",NA,NA,"3",7,FALSE,NA,TRUE,0,0.5,"employee3","none","inter-stat",NA,"afternoon",NA,3,1,1,9.18307194482199
"24","farm","Hoyl,Uyim,Zidep,Misug,Gelyp,Ribi","fillers","hebb",10,4887287,"0.0-4.0-6.0","0q6p85jkrtr8",NA,"Farmer Hoyl purchases machine Uyim.","Ribi","purchases",16233,4,"purchases","Hoyl","Uyim","Uyim","1",8,FALSE,TRUE,TRUE,0,0.666666666666667,"farm1","none","other","none","afternoon",NA,4,2,0,9.69486308732112
"241","farm","Hoyl,Uyim,Zidep,Misug,Gelyp,Ribi","fillers","hebb",10,4887287,"0.0-4.0-6.0","0q6p85jkrtr8",NA,"Machine Uyim can collect fruit of plant Zidep.","Uyim","purchases",13584,3,"can collect","Uyim","Ribi","Zidep","2",8,TRUE,FALSE,FALSE,0,0.333333333333333,"farm2","order","none","other","afternoon",NA,4,2,0,9.51672152186045
"242","farm","Hoyl,Uyim,Zidep,Misug,Gelyp,Ribi","fillers","hebb",10,4887287,"0.0-4.0-6.0","0q6p85jkrtr8",NA,"Plant Zidep are harvested automatically.","Ribi","are harvested automatically",58529,2,"are harvested automatically","Zidep",NA,NA,"3",8,FALSE,NA,TRUE,0,0.5,"farm3","none","other",NA,"afternoon",NA,4,2,0,10.9772947222853
"25","lawyer","Mabi,Ezol,Eshov,Awiz,Orok,Thuha","analogues","hebb",11,4945854,"0.0-4.0-7.0","0q6p85jkrtr8",NA,"Lawyer Mabi finds loophole Ezol.","Eshov","finds",15680,3,"finds","Mabi","Mabi","Ezol","1",9,FALSE,FALSE,TRUE,0,0.333333333333333,"lawyer1","none","inter-stat","intra-stat","afternoon",NA,5,3,1,9.66020506738103
"251","lawyer","Mabi,Ezol,Eshov,Awiz,Orok,Thuha","analogues","hebb",11,4945854,"0.0-4.0-7.0","0q6p85jkrtr8",NA,"Loophole Ezol bypasses contract of union Eshov.","Eshov","bypasses sth. of",22867,3,"bypasses sth. of","Ezol","Ezol","Eshov","2",9,FALSE,FALSE,TRUE,0,0.333333333333333,"lawyer2","none","intra-stat","intra-stat","afternoon",NA,5,3,1,10.0374938323839
"252","lawyer","Mabi,Ezol,Eshov,Awiz,Orok,Thuha","analogues","hebb",11,4945854,"0.0-4.0-7.0","0q6p85jkrtr8",NA,"Union Eshov loses a lawsuit.","Ezol","loses sth.",9501,2,"loses sth.","Eshov",NA,NA,"3",9,FALSE,NA,TRUE,0,0.5,"lawyer3","none","inter-stat",NA,"afternoon",NA,5,3,1,9.15925758174687
"26","hacker","Puvi,Eefar,Goxos,Thygef,Ofes,Potho","analogues","hebb",12,4994285,"0.0-4.0-8.0","0q6p85jkrtr8",NA,"Hacker Puvi writes computer code Eefar.","Ofes","cracks sth. of",17918,3,"writes","Puvi","Eefar","Eefar","1",10,FALSE,TRUE,FALSE,0,0.333333333333333,"hacker1","order","other","none","afternoon",NA,6,4,0,9.79361688140042
"261","hacker","Puvi,Eefar,Goxos,Thygef,Ofes,Potho","analogues","hebb",12,4994285,"0.0-4.0-8.0","0q6p85jkrtr8",NA,"Code Eefar cracks the firewall of company Goxos.","Eefar","leaks sth.",8717,3,"cracks sth. of","Eefar","Puvi","Goxos","2",10,TRUE,FALSE,FALSE,0,0.333333333333333,"hacker2","order-syno","none","inter-stat","afternoon",NA,6,4,0,9.07314513279834
"262","hacker","Puvi,Eefar,Goxos,Thygef,Ofes,Potho","analogues","hebb",12,4994285,"0.0-4.0-8.0","0q6p85jkrtr8",NA,"Company Goxos suffers a data loss.","Eefar","cracks sth. of",11251,3,"suffers sth.","Goxos",NA,NA,"3",10,FALSE,NA,FALSE,0,0,"hacker3","order","inter-stat",NA,"afternoon",NA,6,4,0,9.32830116960975
"27","pump","Assit,Wecin,Soav,Eyem,Upno,Adjo","fillers","hebb",13,5034388,"0.0-4.0-9.0","0q6p85jkrtr8",NA,"Plumber Assit installs pump Wecin.","Assit","sucks sth. from",10117,3,"installs","Assit","Soav","Wecin","1",11,TRUE,FALSE,FALSE,0,0.333333333333333,"pump1","order","none","inter-stat","afternoon",NA,7,3,1,9.22207129485188
"271","pump","Assit,Wecin,Soav,Eyem,Upno,Adjo","fillers","hebb",13,5034388,"0.0-4.0-9.0","0q6p85jkrtr8",NA,"Pump Wecin sucks water from ground Soav.","Soav","dries up",10444,3,"sucks sth. from","Wecin","Wecin","Soav","2",11,FALSE,FALSE,FALSE,0,0,"pump2","order","intra-stat","intra-stat","afternoon",NA,7,3,1,9.25387867399067
"272","pump","Assit,Wecin,Soav,Eyem,Upno,Adjo","fillers","hebb",13,5034388,"0.0-4.0-9.0","0q6p85jkrtr8",NA,"Ground Soav dries up.","Wecin","sucks sth. from",8988,2,"dries up","Soav",NA,NA,"3",11,FALSE,NA,FALSE,0,0,"pump3","order","inter-stat",NA,"afternoon",NA,7,3,1,9.1037568865734
"28","storm","Titho,Lyde,Ubug,Ohan,Yoges,Thusoth","fillers","hebb",14,5157211,"0.0-4.0-10.0","0q6p85jkrtr8",NA,"Storm Titho hits tree Lyde.","Titho","hits",13303,3,"hits","Titho","Lyde","Lyde","1",12,TRUE,TRUE,TRUE,0,1,"storm1","none","none","none","afternoon",NA,8,4,0,9.49582002087276
"281","storm","Titho,Lyde,Ubug,Ohan,Yoges,Thusoth","fillers","hebb",14,5157211,"0.0-4.0-10.0","0q6p85jkrtr8",NA,"Tree Lyde falls on trail of route Ubug.","Lyde","falls on",16286,3,"falls on","Lyde","Yoges","Ubug","2",12,TRUE,FALSE,TRUE,0,0.666666666666667,"storm2","none","none","other","afternoon",NA,8,4,0,9.69812252257356
"282","storm","Titho,Lyde,Ubug,Ohan,Yoges,Thusoth","fillers","hebb",14,5157211,"0.0-4.0-10.0","0q6p85jkrtr8",NA,"Route Ubug is blocked.","Lyde","is blocked",82678,2,"is blocked","Ubug",NA,NA,"3",12,FALSE,NA,TRUE,0,0.5,"storm3","none","inter-stat",NA,"afternoon",NA,8,4,0,11.3227209188991
"311","bacteria","Zimob,Pishi,Enmob,Hosen,Uwit,Zishu","analogues","hebb",17,5328468,"0.0-4.0-13.0","0q6p85jkrtr8",NA,"Bacteria Zimob emits enzyme Pishi.","Enmob","dissolves sth. of",26266,5,"emits","Zimob","Pishi","Pishi","1",15,FALSE,TRUE,FALSE,0,0.333333333333333,"bacteria1","order","inter-stat","none","afternoon",NA,9,5,1,10.1760686774527
"312","bacteria","Zimob,Pishi,Enmob,Hosen,Uwit,Zishu","analogues","hebb",17,5328468,"0.0-4.0-13.0","0q6p85jkrtr8",NA,"Enzyme Pishi dissolves the membrane of organ Enmob.","Pishi","emits",13567,3,"dissolves sth. of","Pishi","Zimob","Enmob","2",15,TRUE,FALSE,FALSE,0,0.333333333333333,"bacteria2","order","none","inter-stat","afternoon",NA,9,5,1,9.51546935803168
"313","bacteria","Zimob,Pishi,Enmob,Hosen,Uwit,Zishu","analogues","hebb",17,5328468,"0.0-4.0-13.0","0q6p85jkrtr8",NA,"Organ Enmob fails.","Zimob","is eliminated",31830,2,"fails","Enmob",NA,NA,"3",15,FALSE,NA,FALSE,0,0,"bacteria3","grasyn","inter-stat",NA,"afternoon",NA,9,5,1,10.3681959366849
"321","crusader","Thisun,Saly,Kewos,Yuxeh,Gena,Uvman","analogues","hebb",18,5373985,"0.0-4.0-14.0","0q6p85jkrtr8",NA,"Crusader group Thisun buys weapon Saly.","Yuxeh","is infiltrated",14080,3,"buys","Thisun","Kewos","Saly","1",16,FALSE,FALSE,FALSE,0,0,"crusader1","order-grasyn","other","inter-stat","afternoon",NA,10,6,0,9.55258164991731
